frame	sec	lot	price	winner	clock
1	5	257	44.00	tseey_84	0:02
2	10	257	44.00		0:00
3	15	257	44.00		0:00
4	20	257	44.00		0:00
5	25	257	44.00		0:00
6	30	257	44.00		0:00
7	35	257	44.00		0:00
8	40	257	44.00		0:00
9	45	257	44.00		0:00
10	50	257	44.00		0:00
11	55	257	44.00		0:00
12	60	257	44.00		0:00
13	65	257	44.00		0:00
14	70	258	2.00		0:16
15	75	258	15.00	sgtsquirtemscards	0:11
16	80	258	21.00	sgtsquirtemscards	0:06
17	85	258	23.00	sgtsquirtemscards	0:08
18	90	258	2700	sgtsquirtemscards	0:09
19	95	258	29.00	mcdoogsss8	0:04
20	100	258	32.00	mcdoogsss	0:07
21	105	258	32.00	mcdoogsss8	0:02
22	110	258	32.00		0:00
23	115	258	32.00		0:00
24	120	258	32.00		0:00
25	125	258	32.00		0:00
26	130	258	32.00		0:00
27	135	258	32.00		0:00
28	140	258	32.00		0:00
29	145	258	32.00		0:00
30	150	259	1.00		0:20
31	155	259	1.00	phineas.gage101	0:14
32	160	259	16.00	estmontedespro533	0:10
33	165	259	59.00	estmontedespro533	0:05
34	170	259	68.00	limit975	0:05
35	175	259	68.00	limit975	0:00
36	180	259	68.00		0:00
37	185	259	68.00		0:00
38	190	259	68.00		0:00
39	195	259	68.00		0:00
40	200	259	68.00		0:00
41	205	259	68.00		0:00
42	210	260	1.00		0:20
43	215	260	3.00	hayventurel5	0:15
44	220	260	8.00	estmontedespro533	0:10
45	225	260	8.00	estmontedespro533	0:05
46	230	260	12.00	estmontedespro533	0:06
47	235	260	21.00	ronum_49	0:06
48	240	260	22.00	mcdoogss8	0:09
49	245	260	22.00	mcdoogsss	0:04
50	250	260	24.00	mcdoogsss8	0:06
51	255	260	24.00	mcdoogsss8	0:01
52	260	260	24.00		0:00
53	265	260	24.00		0:00
54	270	260	24.00		0:00
55	275	260	24.00		0:00
56	280	260	24.00		0:00
57	285	260	24.00		0:00
58	290	260	24.00		0:00
59	295	260	24.00		0:00
60	300	260	24.00		0:00
61	305	260	24.00		0:00
62	310	260	24.00		0:00
63	315	260	24.00		0:00
64	320	260	24.00		0:00
65	325	260	24.00		0:00
66	330	260	24.00		0:00
67	335	260	24.00		0:00
68	340	260	24.00		0:00
69	345	260	24.00		0:00
70	350	260	24.00		0:00
71	355	260	24.00		0:00
72	360	260	24.00		0:00
73	365	260	24.00		0:00
74	370	260	24.00		0:00
75	375	260	24.00		0:00
76	380	261	1.00		0:20
77	385	261	2.00	comu-5435	0:15
78	390	261	6.00	finsup352	0:10
79	395	261	26.00	7	0:05
80	400	261	28.00	7	0:09
81	405	261	32.00	benja-quesn	0:04
82	410	261	36.00	bobty5889	0:08
83	415	261	42.00	mcdoogsss8	0:03
84	420	261	42.00		0:00
85	425	261	42.00		0:00
86	430	261	42.00		0:00
87	435	261	42.00		0:00
88	440	261	42.00		0:00
89	445	261	42.00		0:00
90	450	261	42.00		0:00
91	455	261	42.00		0:00
92	460	261	42.00		0:00
93	465	261	42.00		0:00
94	470	261	42.00		0:00
95	475	261	42.00		0:00
96	480	261	42.00		0:00
97	485	261	42.00		0:00
98	490	261	42.00		0:00
99	495	261	42.00		0:00
100	500	262	1.00	comu-5435	0:18
101	505	262	28.00	medoogs8s8	0:13
102	510	262	34.00	mcdoogsss8	0:08
103	515	262	34.00	mcdoogsss	0:03
104	520	262	34.00		0:00
105	525	262	34.00		0:00
106	530	262	34.00		0:00
107	535	262	34.00		0:00
108	540	262	34.00		0:00
109	545	262	34.00		0:00
110	550	262	34.00		0:00
111	555	262	34.00		0:00
112	560	263	1.00		0:16
113	565	263	1.00		0:11
114	570	263	1.00	paparob-6871	0:06
115	575	263	1.00	paparob-6871	0:01
116	580	263	1.00		0:00
117	585	263	1.00		0:00
118	590	263	1.00		0:00
119	595	263	1.00		0:00
120	600	264	5.00		
121	605	264	4.00	sgtsquirtemscards	0:15
122	610	264	13.00	bobty5889	0:10
123	615	264	23.00	bobty5889	0:05
124	620	264	29.00		0:05
125	625	264	32.00	noctrnalO5	0:06
126	630	264	32.00	noctrnalO5	0:01
127	635	264	34.00	minath8	0:06
128	640	264	34.00	minath8	0:01
129	645	264	34.00		0:00
130	650	264	34.00		0:00
131	655	264	34.00		0:00
132	660	264	34.00		0:00
133	665	264	34.00		0:00
134	670	265	1.00	comu-5435	0:18
135	675	265	700	2s8zh_54	0:13
136	680	265	32.00	7	0:08
137	685	265	39.55	noctrnalOs	0:09
138	690	265	47.55	noctrnalO8	0:09
139	695	265	57.55	bra_361562	0:09
140	700	265	66.55	bra_361562	0:04
141	705	265	69.55	kemosabe831	0:08
142	710	265	69.55	kemosabe831	0:03
143	715	265	69.55		0:00
144	720	265	69.55		0:00
145	725	265	69.55		0:00
146	730	265	69.55		0:00
147	735	265	69.55		0:00
148	740	266	1.00	comu-5435	0:16
149	745	266	3.00	comu-5435	0:11
150	750	266	700	varob710	0:06
151	755	266	28.77	varob710	0:06
152	760	266	32.77	sgtsquirtemscards	0:07
153	765	266	36.77	kemosabe831	0:10
154	770	266	36.77	kemosabe831	0:05
155	775	266	38.77	limit975	0:06
156	780	266	40.77	kemosabe831	0:07
157	785	266	42.77	limit975	0:03
158	790	266	42.77		0:00
159	795	266	42.77		0:00
160	800	266	42.77		0:00
161	805	266	42.77		0:00
162	810	267	1.00	comu-5435	0:18
163	815	267	3.00	comu-5435	0:13
164	820	267	9.00	mcdoogss8	0:08
165	825	267	13.00	mcdoogsss8	0:09
166	830	267	19.00	mcdoogss8	0:09
167	835	267	23.00	mcdoogss8	0:04
168	840	267	2700	mcdoogsss	0:05
169	845	267	32.00	mcdoogss8	0:07
170	850	267	32.00	mcdoogsss8	0:02
171	855	267	32.00		0:00
172	860	267	32.00		0:00
173	865	267	32.00		0:00
174	870	267	32.00		0:00
175	875	267	32.00		0:00
176	880	267	32.00		0:00
177	885	268	2.00	hayventurel5	0:17
178	890	268	22.99	arceu5S	0:12
179	895	268	24.99	arceu5S	0:07
180	900	268	28.99	arceu5S	0:09
181	905	268	30.00	arceu5S	0:03
182	910	268	30.00		0:00
183	915	268	30.00		0:00
184	920	268	30.00		0:00
185	925	268	30.00		0:00
186	930	268	30.00		0:00
187	935	268	30.00		0:00
188	940	268	30.00		0:00
189	945	268	30.00		0:00
190	950	268	30.00		0:00
191	955	268	30.00		0:00
192	960	269	1.00		0:19
193	965	269	4.00	arceu5S	0:14
194	970	269	10.00	arceu5S	0:09
195	975	269	12.00	arceu5S	0:04
196	980	269	15.00	kemosabe831	0:05
197	985	269	16.00	noctrnalO5	0:08
198	990	269	17.00	kemosabe831	0:03
199	995	269	18.00	noctrnalO5	0:07
200	1000	269	18.00	noctrnalO5	0:02
201	1005	269	18.00		0:00
202	1010	269	18.00		0:00
203	1015	269	18.00		0:00
204	1020	269	18.00		0:00
205	1025	269	18.00		0:00
206	1030	269	18.00		0:00
207	1035	269	18.00		0:00
208	1040	269	18.00		0:00
209	1045	269	18.00		0:00
210	1050	270	1.00		0:18
211	1055	270	2.00	bbrel068-6xmdtnm	0:13
212	1060	270	3.00	varob710	0:08
213	1065	270	4.00	kemosabe831	0:03
214	1070	270	6.00	noctrnalOs	0:08
215	1075	270	6.00	noctrnalO5	0:03
216	1080	270	6.00		0:00
217	1085	270	6.00		0:00
218	1090	270	6.00		0:00
